url,label
https://www.google.com,0
https://www.wikipedia.org,0
https://github.com,0
https://www.microsoft.com,0
https://openai.com,0
https://www.amazon.in,0
https://www.nasa.gov,0
https://www.stackoverflow.com,0
https://www.python.org/downloads,0
https://www.bankofbaroda.in,0
https://www.apple.com,0
https://www.linkedin.com,0
https://www.dropbox.com,0
https://www.icicibank.com,0
https://www.cloudflare.com,0
https://news.ycombinator.com,0
https://support.google.com,0
https://mail.proton.me,0
https://developer.mozilla.org,0
https://www.canva.com,0
http://secure-login-account-update.verify-user-now.com/login,1
http://paypal.verify-user-alert.com/signin,1
http://192.168.0.1/verify/account,1
http://free-gift-card-claim-now.ru/winner,1
http://apple-id.account-recovery-check.net,1
http://login-security-check@malicious-site.com,1
http://update-your-bank-info-now.xyz/auth,1
http://netflix-billing-reset-confirmation.com/login,1
http://urgent-password-reset-user-check.tk/verify,1
http://signin-confirm-user-session-security-alert.ml,1
http://bit.ly/free-crypto-airdrop,1
http://tinyurl.com/secure-banking-update,1
http://microsoft-login-security-alert.ga/account/reset,1
http://verify-amazon-wallet-support.click/confirm,1
http://google-docs-shared-file-login.work/view,1
http://bank-secure-user-session.country/update-info,1
http://dropbox-file-preview-security-check.top/share,1
http://crypto-bonus-claim-free.gq/reward,1
http://confirm-paytm-wallet-kyc-support.cf/login,1
http://office365-password-reset-alert.support/auth,1
